EPA_organisation_identifier	EPA_organisation (lookup auto-populated)	Standard_code	StandardName (lookup auto-populated)	Effective_from	Effective_to	Contact_name	Contact_phonenumber	Contact_email	Date standard Approved on the Register	Comments
EPA0009	Energy & Utilities Independent Assessment Service	216	Electrical Power Networks Engineer	01/11/2018		Jacqueline Hall	07921 230 272	jacqueline.hall@euias.co.uk	20/12/2017	
EPA0022	Innovate Awarding Limited	215	Community Activator Coach	01/08/2018		Charlotte Bosworth	0117 3142800	epa@Innovateawarding.org	15/12/2017	
EPA0022	Innovate Awarding Limited	223	Hospitality Manager	01/08/2018		Charlotte Bosworth	0117 3142800	epa@Innovateawarding.org	10/01/2018	
EPA0082	SFJ Awards	241	Operational Firefighter	01/08/2018		Steve Batty	0114 284 1970	s.batty@sfjawards.com	27/02/2018	
EPA0010	EAL	12	Product Design and Development Engineer	01/04/2018		Mrs Carolyn Barker	01923 652400	carolyn.barker@eal.org.uk	12/11/2014	
EPA0042	Highfield Awarding Body for Compliance (HABC)	206	Passenger transport onboard and station team member	01/11/2018		Ben Cressey	0845 226 0350	bcressey@highfieldabc.com	23/11/2017	
EPA0150	University of East London	25	Digital and Technology Solutions Professional	01/05/2018		Guy Thomas	0208 223 2337	Degreeapprenticeships@uel.ac.uk	01/09/2016	
EPA0123	London Metropolitan University	256	Police Constable	01/07/2018		Chris Lane	020 7423 0000	c.lane@londonmet.ac.uk	01/05/2018	
EPA0071	Manpower Services Ltd	111	Supply Chain Warehouse Operative	01/10/2018		Lisa Wright	07789 878389	Lisa.Wright@manpower.co.uk	01/07/2016	
EPA0082	SFJ Awards	250	Business Fire Safety Advisor	01/01/2019		Steve Batty	0114 284 1970	s.batty@sfjawards.com	01/04/2018	
EPA0151	Apprenticeship EPA Centre	105	Team Leader/Supervisor	01/07/2018		Louise Webber	0845 223 5020	Louise@apprenticeship-centre.co.uk	01/10/2016	
EPA0151	Apprenticeship EPA Centre	196	Business Administrator	01/07/2018		Louise Webber	0845 223 5020	Louise@apprenticeship-centre.co.uk	01/09/2017	
EPA0151	Apprenticeship EPA Centre	111	Supply Chain Warehouse Operative	01/07/2018		Louise Webber	0845 223 5020	Louise@apprenticeship-centre.co.uk	01/07/2016	
EPA0044	The Colleges' Partnership Ltd	196	Business Administrator	01/07/2018		Martin Johnson	01258 457091	martin.johnson@tcpartnership.ac.uk	01/09/2017	
EPA0044	The Colleges' Partnership Ltd	79	Cyber Intrusion Analyst	01/07/2018		Martin Johnson	01258 457091	martin.johnson@tcpartnership.ac.uk	01/06/2016	
EPA0044	The Colleges' Partnership Ltd	142	IT Technical Salesperson	01/07/2018		Martin Johnson	01258 457091	martin.johnson@tcpartnership.ac.uk	01/10/2016	
EPA0152	Lean Training Solutions Ltd	111	Supply Chain Warehouse Operative	01/08/2018		Paul Eagle	07432 698032	paule@leantrainingsolutions.co.uk	01/05/2018	
EPA0152	Lean Training Solutions Ltd	130	Food and Drink Process Operator	01/08/2018		Paul Eagle	07432 698032	paule@leantrainingsolutions.co.uk	01/05/2018	
EPA0153	Sheffield Hallam University	168	Healthcare Science Practitioner	01/12/2018		Francesca Frascina	0114 225 6600	f.frascina@shu.ac.uk	01/11/2016	
EPA0003	BINDT	207	Non-Destructive Testing Engineer	01/03/2018		Roger Lyon	01604 893811	apprenticeships@bindt.org	01/08/2017	
EPA0105	Skills for Logistics (2015) Ltd	109	Supply Chain Operator	01/09/2018		David Coombes	0117 9278807	contact@skillsforlogistics.co.uk	01/01/2018	
EPA0054	Skillsfirst Assess	104	Operations/Departmental Manager	01/08/2018		Mark Child/Yvonne Bennett	0121 270 5100	enquiries@skillsfirstassess.co.uk	01/10/2017	
EPA0054	Skillsfirst Assess	196	Business Administrator	01/08/2018		Mark Child/Yvonne Bennett	0121 270 5100	enquiries@skillsfirstassess.co.uk	01/09/2017	
EPA0006	Chartered Institute of Housing	23	Property Maintenance Operative	01/11/2017		Vanessa Howell	02476 851739	Vanessa.howell@cih.org	01/04/2015	
EPA0039	BIIAB	118	Lead Adult Care Worker	01/08/2018		Customer Support	01276 684449	customersupport@bii.org	01/07/2016	
EPA0039	BIIAB	119	Adult Care Worker	01/08/2018		Customer Support	01276 684449	customersupport@bii.org	01/07/2016	
EPA0039	BIIAB	196	Business Administrator	01/08/2018		Customer Support	01276 684449	customersupport@bii.org	01/09/2017	
EPA0041	DSW Consulting	30	Investment Operations Specialist	01/03/2018		Tim Hattersley	01302 760 008	info@dswapprenticeships.co.uk	01/11/2017	
EPA0041	DSW Consulting	33	Investment Operations Technician	01/03/2018		Tim Hattersley	01302 760 008	info@dswapprenticeships.co.uk	01/11/2017	
EPA0136	Inplace Learning	105	Team Leader/Supervisor	01/02/2018		Stuart Pyle	07739 526500	stuart@peopleservices.microsoft.com	01/09/2016	
EPA0136	Inplace Learning	104	Operations/Departmental Manager	01/02/2018		Stuart Pyle	07739 526500	stuart@peopleservices.microsoft.com	01/09/2016	
EPA0138	The Chartered Institute of Taxation	204	Accountancy Taxation Professional	01/08/2018		Rosalind Baxter	0844 579 6700	education@ciot.org.uk	01/11/2017	
EPA0061	Training Qualifications UK	190	HR Consultant / Partner	01/10/2018		Kelle McQuade	03333 583 344	epa@tquk.org	01/09/2017	
EPA0061	Training Qualifications UK	191	HR Support	01/10/2018		Kelle McQuade	03333 583 344	epa@tquk.org	01/09/2017	
EPA0154	Autoexel Limited	59	Motor Vehicle Service and Maintenance Technician (light vehicle)	01/10/2018		Christopher Newton	01235 553296	enquiries@autoexel.org.uk	01/01/2016	
EPA0037	ProQual AB	239	Carpentry and Joinery	01/10/2018		Gary Bartle	01430 423822	garybartle@proqualab.com	01/05/2018	
EPA0037	ProQual AB	171	Construction Steel Fixer	01/10/2018		Gary Bartle	01430 423822	garybartle@proqualab.com	01/10/2016	
EPA0037	ProQual AB	219	Lifting Technician	01/10/2018		Gary Bartle	01430 423822	garybartle@proqualab.com	01/10/2017	
EPA0047	QFI	125	Highway Electrical Maintenance and Installation Operative	01/10/2018		Richard McClelland	07710 427643	richard.mcclelland@qfi.org.uk	01/03/2018	
EPA0047	QFI	124	Highway Electrician / Service Operative	01/10/2018		Richard McClelland	07710 427643	richard.mcclelland@qfi.org.uk	01/03/2018	
EPA0155	University of Lincoln	184	Food Industry Technical Professional	01/12/2018		Professor Val Braybrooks	01406 493000	vbraybrooks@lincoln.ac.uk	01/06/2017	
EPA0156	University of Wolverhampton	25	Digital and Technology Solutions Professional	01/07/2018		Richard Middleton	01902 322403	Richard.Middleton@wlv.ac.uk	01/09/2016	
EPA0157	Assesu	105	Team Leader/Supervisor	01/08/2018		Jane Firth	0115 975 9550	Jane.firth@assessu.co.uk	01/06/2016	
